series_id,surface,base_temperature,monday_is_day_off,tuesday_is_day_off,wednesday_is_day_off,thursday_is_day_off,friday_is_day_off,saturday_is_day_off,sunday_is_day_off
101527,x-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102214,x-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
103177,small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100852,large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100904,xx-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101449,large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100450,x-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102606,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100894,xx-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101203,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101926,medium,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102684,xx-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102886,x-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101558,small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100548,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100923,x-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101079,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101534,xx-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101818,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
102093,x-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102130,xx-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101370,xx-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101806,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101038,large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101504,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102030,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102897,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
103080,large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
103442,medium,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100345,x-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101663,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101743,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101794,x-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103191,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100980,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102763,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
103041,x-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101362,xx-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101371,x-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100540,large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100560,medium,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101107,x-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
103457,xx-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
103582,medium,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100607,large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101792,xx-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
101961,xx-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102609,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102913,medium,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
103276,xx-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
103625,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102841,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
103264,small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
103334,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102690,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100118,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102162,medium,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101786,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102530,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
103627,xx-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100958,x-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102187,xx-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102974,small,low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102989,xx-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100200,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100836,small,low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100719,small,high,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100839,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101697,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102291,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
103568,xx-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101811,xx-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
103145,x-small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100247,medium,low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102237,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102621,small,low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102899,small,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100903,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102691,large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101384,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102599,large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102981,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
103016,large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
101569,x-large,low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
